"","Df","SumOfSqs","R2","F","Pr(>F)"
"BM",1,0.113658677945447,0.183774407912297,1.3509089376302,0.027
"Residual",6,0.504809797815817,0.816225592087703,NA,NA
"Total",7,0.618468475761264,1,NA,NA
