"","Df","SumOfSqs","R2","F","Pr(>F)"
"BM",1,0.137857169349521,0.154221974472067,1.09405992932343,0.1718
"Residual",6,0.756030811409607,0.845778025527933,NA,NA
"Total",7,0.893887980759129,1,NA,NA
