"","Df","SumOfSqs","R2","F","Pr(>F)"
"BM",1,0.135747277432011,0.151738041183352,1.07328666296693,0.2334
"Residual",6,0.758868709260352,0.848261958816648,NA,NA
"Total",7,0.894615986692362,1,NA,NA
