"Factor","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Subject","Type","Pfams"
"acnB",421.672342120801,0.321991516989309,0.0747936946715746,4.3050623238122,1.66938730966863e-05,0.00945707910927279,"PGPT0001470","PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;PHOSPHATE_SOLUBILIZATION;P-SOLUBILISATION-ORGANIC_ACID_METABOLISM;P-SOLUBILISATION-CITRIC_ACID_BIOSYNTHESIS#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;PHOSPHATE_SOLUBILIZATION;P-SOLUBILISATION-ORGANIC_ACID_METABOLISM;P-SOLUBILISATION-ACONITIC_ACID_BIOSYNTHESIS#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;POTASSIUM_SOLUBILIZATION;K-SOLUBILIZATION-ORGANIC_ACID_METABOLISM;K-SOLUBILISATION-CITRIC_ACID_BIOSYNTHESIS#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;POTASSIUM_SOLUBILIZATION;K-SOLUBILIZATION-ORGANIC_ACID_METABOLISM;K-SOLUBILISATION-ACONITIC_ACID_BIOSYNTHESIS#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_ORGANIC_ACID_UTILIZATION;PLANT_DERIVED_ACONITATE_UTILIZATION#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_ORGANIC_ACID_UTILIZATION;PLANT_DERIVED_ORGANIC_ACID_USAGE-TRICARBOXYLIC_ACID_CYCLE","PF00330;PF06434;PF11791;PF03972;PF19305"
"baeG|pksG|dfnL",4.05614843042216,-5.49100606726729,1.20500579106302,-4.55682960861398,5.19315183639815e-06,0.00567929935020989,"PGPT0010135","PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_BIOTIC_STRESS;BACTERICIDAL_COMPOUNDS|ANTIBIOTICS;BACTERICIDAL-BACILLAENE|DIFFICIDIN_METABOLISM","PF08540;PF01154"
"baeN|pksN|mlnB|mlnD|dfnG",51.9680733693139,-1.25683369784244,0.242860382444773,-5.17512854583535,2.27754120023555e-07,0.000516090835973374,"PGPT0010165","PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_BIOTIC_STRESS;BACTERICIDAL_COMPOUNDS|ANTIBIOTICS;BACTERICIDAL-BACILLAENE|MACROLACTIN|DIFFICIDIN_METABOLISM","PF00106;PF13561;PF00378;PF16113;PF16363;PF16197;PF00109;PF02801;PF08659;PF07993;PF02719;PF08440;PF00550;PF14765;PF00108"
"gapA",941.496829575482,0.190985316870005,0.0474090650581441,4.02845566846286,5.61444447989286e-05,0.021203885319062,"PGPT0018000","PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_CARBOHYDRATE-GENERAL_USAGE;PLANT_DERIVED_CARBOHYDRATES-GLYCOLYSIS|GLUCONEOGENESIS","PF02800;PF00044"
"icd",1199.71891564043,0.18481521350929,0.0474220709800194,3.8972404555499,9.72950048975277e-05,0.0255122743035959,"PGPT0001170","PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;CARBON_DIOXID_FIXATION;CO2_FIXATION-ALTERNATIVE_PAHTWAYS;CO2_FIXATION-REDUCTIVE_CITRIC_ACID_CYCLE#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;PHOSPHATE_SOLUBILIZATION;P-SOLUBILISATION-ORGANIC_ACID_METABOLISM;P-SOLUBILISATION-KETOGLUTARIC_ACID_BIOSYNTHESIS#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;PHOSPHATE_SOLUBILIZATION;P-SOLUBILISATION-ORGANIC_ACID_METABOLISM;P-SOLUBILISATION-SUCCINIC_ACID_ACID_BIOSYNTHESIS#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;POTASSIUM_SOLUBILIZATION;K-SOLUBILIZATION-ORGANIC_ACID_METABOLISM;K-SOLUBILISATION-KETOGLUTARIC_ACID_BIOSYNTHESIS#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;POTASSIUM_SOLUBILIZATION;K-SOLUBILIZATION-ORGANIC_ACID_METABOLISM;K-SOLUBILISATION-SUCCINIC_ACID_ACID_BIOSYNTHESIS#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_ORGANIC_ACID_UTILIZATION;PLANT_DERIVED_CITRATE_SENSING|UTILIZATION#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_ORGANIC_ACID_UTILIZATION;PLANT_DERIVED_ORGANIC_ACID_USAGE-TRICARBOXYLIC_ACID_CYCLE","PF13419;PF00702;PF00180"
"pilT",478.142338445483,0.31005097847314,0.0692318631899718,4.47844336678276,7.51893117856561e-06,0.00567929935020989,"PGPT0015875","PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-MOTILITY|CHEMOTAXIS;MOTILITY-PILUS|FIMBRIAE_SYSTEM;MOTILITY-PILUS_SYSTEM-TWITCHING_MOTILITY#PGPT;INDIRECT_EFFECTS;COMPETITIVE_EXCLUSION|CE;CE-BACTERIAL_SECRETION;CE-TYPE_II_SECRETION_SYSTEMS;CE-T2SS-GENERAL_SECRETION_PATHWAY#PGPT;INDIRECT_EFFECTS;COMPETITIVE_EXCLUSION|CE;CE-BACTERIAL_SECRETION;CE-TYPE_II_SECRETION_SYSTEMS;CE-T2SS-TYPE_IV_PILIN_SECRETION|FIMBRIAL_ASSEMBLY","PF00437"
"ppsB|fenD",8.14326838213275,-2.8923451347878,0.680045034937675,-4.25316704952176,2.10768225513068e-05,0.00955201598025224,"PGPT0012305","PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_BIOTIC_STRESS;FUNGICIDAL_COMPOUNDS|ANTIBIOTICS;FUNGICIDAL-FENGYCIN|PLIPASTATIN_METABOLISM","PF00501;PF13193;PF00668;PF00550"
"pyrDI",2.89898627586608,-5.0086291836055,1.28843033828045,-3.88738842512049,0.000101328538716841,0.0255122743035959,"PGPT0021175","PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_NUCLEOSIDE_METABOLISM;PLANT_DERIVED_PYRIMIDINE_METABOLISM","PF10418;PF01180;PF01207"
"srfAC|lchAC",21.2758820660265,-1.3810429099874,0.349833215502974,-3.94771808046242,7.88996365356244e-05,0.0255122743035959,"PGPT0009840","PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_BIOTIC_STRESS;BACTERICIDAL_COMPOUNDS|ANTIBIOTICS;BACTERICIDAL-SURFACTIN_PRODUCTION#PGPT;INDIRECT_EFFECTS;PLANT_IMMUNE_RESPONSE_STIMULATION;TRIGGERED_IMMUNITY;PAMP|EFFECTOR_TRIGGERED_IMMUNITY|PTI;PTI-SURFACTIN_PRODUCTION#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-SURFACE_ATTACHMENT;SURFACE_ADHESION;SURFACE_ADHESION-SURFACTIN|LICHENYSIN_PRODUCTiON#PGPT;INDIRECT_EFFECTS;COMPETITIVE_EXCLUSION|CE;CE-QUORUM_SENSING_RESPONSE|BIOFILM_FORMATION;CE-QSR-AUTOINDUCER_PERCEPTION;CE-QSR-ComX_PHEROMONE_PERCIPITATION|SIGNALLING","PF00501;PF13193;PF00668;PF00550;PF00975"
