"","Df","SumOfSqs","R2","F","Pr(>F)"
"BM",1,0.121736051265693,0.186755306687835,1.14821103797937,0.0285714285714286
"Residual",5,0.530111831531964,0.813244693312164,NA,NA
"Total",6,0.651847882797657,1,NA,NA
