"","Df","SumOfSqs","R2","F","Pr(>F)"
"BM",1,0.113980372610297,0.154984657250661,0.917052326803934,0.885714285714286
"Residual",5,0.621449666931959,0.845015342749339,NA,NA
"Total",6,0.735430039542256,1,NA,NA
